,price
17916,16660
16815,2799
2494,26254
10693,15000
11461,18698
14019,24690
6665,33470
4365,17750
70,24990
2438,19998
8828,15700
2196,18390
8642,21800
1547,12998
5173,8990
2731,26990
9861,16490
8307,15352
2423,3750
12988,23400
10673,8000
3176,16291
6947,39200
3472,15975
7592,13490
921,20498
3526,30291
13275,12751
6082,17500
17116,10000
17325,3690
4652,11595
12540,12990
1277,30990
324,22250
5290,45790
8239,18440
4118,14970
2666,9301
5712,20995
8047,24849
5333,21950
5947,20546
1650,18112
550,34995
11275,8499
10632,14700
2920,23450
7009,28500
5554,10260
1414,6150
3577,11990
5026,19990
8655,9400
372,19987
520,21795
7550,13999
7249,43875
8751,11600
9270,7990
5176,7695
15279,15789
270,24300
2774,24490
6864,29950
3508,10720
10410,19745
10630,24720
2553,7995
8482,12405
9797,21999
8158,24999
3775,19000
2561,17495
7080,18395
7571,22966
8537,10795
2220,16998
6176,13499
4025,23999
1934,12200
3965,26980
2379,40800
891,11790
2150,23180
14298,17451
2255,35480
15375,17249
9748,14895
5049,10500
309,34998
3675,14750
2915,12585
12789,6999
4055,17995
9993,13421
3914,9890
6956,29799
2814,22500
10780,19400
3087,20990
4176,14700
11178,11999
1059,23751
3735,25980
10130,21970
4060,9000
1882,15995
12926,7360
5743,9900
4865,20605
7547,7799
5983,11990
6256,41994
1571,6895
7161,9495
2251,17194
4313,7995
5564,9250
7096,29995
689,6200
5755,20998
566,17498
11436,19799
697,25895
2924,13821
4937,16995
5452,10495
1048,10570
7983,17799
111,14800
12371,16800
3752,4495
6971,8291
11666,24500
3179,16991
9934,8500
2601,26981
8715,10995
128,11980
4891,15290
7014,10999
4297,19498
5796,17000
900,20485
1239,17698
9541,19699
12493,10990
6048,22390
6581,35099
11690,23950
1908,7495
1689,8995
13992,28690
2723,10000
9890,10475
8223,16970
8787,25299
12627,27444
3720,7698
10254,16479
666,17998
392,23498
2203,17800
827,11995
1452,11498
13263,9965
3601,18495
3855,21980
984,26999
11207,20699
11836,15250
13841,8995
3293,20890
10397,13300
3278,17998
5384,16571
852,14270
989,11995
5134,11400
645,21998
6821,54899
2111,14295
12799,27490
6209,25000
14123,6990
5491,6899
7681,8442
4049,21906
7500,8190
4706,13700
8168,9452
2451,13495
13323,899
10489,16999
2987,26980
190,24985
13065,18490
4779,94522
8057,18000
14868,10587
11966,26990
630,52995
7293,8492
11020,20499
2450,17691
2398,18042
4432,15400
5668,20799
6039,21790
5740,59450
4206,26400
8881,9980
3080,11480
6807,18890
4850,6921
2605,28697
4672,44033
6962,19599
1454,10995
1353,16998
11173,10990
1154,11150
6182,52990
1269,14950
2161,13295
7458,19250
6081,29480
6752,25888
13066,19490
2542,8200
1900,11890
5716,20498
4971,19800
960,9000
5421,13590
9673,15000
3135,32480
928,6998
4251,8195
3131,22995
707,18995
13937,12000
12095,9495
3624,18490
14858,8000
4144,18995
2044,13180
13841,36650
10174,12000
11772,3990
14161,14575
12748,8491
2967,20990
7983,14690
9898,12950
1157,8298
1697,17210
11601,18770
11049,8263
1018,13999
12837,9790
2274,34995
9035,36539
9644,11975
10322,11900
4463,37990
16317,8995
14262,16000
3927,11990
790,8999
273,21999
3847,15250
4880,24081
6975,17999
12480,16500
5460,14000
14292,18250
12591,17900
17214,22295
1194,8995
5791,61854
9498,9499
12686,28890
5617,20503
11510,19599
8279,6999
7674,11990
8205,8762
12196,6118
525,16498
14593,9999
12578,11500
1122,9998
133,18000
3327,10750
12889,12000
642,5495
8139,22299
423,10990
8058,31199
5714,28500
17692,14145
5715,14500
9031,14250
5190,14620
8671,44491
10504,42750
7601,5640
13285,9750
7474,23990
1674,44160
8060,9995
373,19697
6998,27989
14706,17999
595,20998
11702,36100
3264,17480
12188,10698
2561,17565
1300,38020
3936,15189
5532,39891
15149,8200
7825,9742
6485,13495
5345,11772
17908,15499
6385,15975
12008,27750
4941,70990
2797,38980
2507,10799
11656,28000
4430,13298
3434,28995
9125,16790
3939,29890
9942,11295
3573,11495
9473,27490
10877,10199
943,15998
8425,22899
14018,7990
11089,15900
9576,9300
4127,11498
14063,34000
4993,16195
4607,16297
7972,11912
7868,12810
5202,11990
14694,10495
3504,7531
2013,29490
8448,11799
3209,18797
3404,17450
2685,15502
3505,12495
5070,27980
2556,14995
1546,13990
2456,13095
4298,18900
3867,12490
14025,24450
8287,18350
6784,17444
13076,23948
2875,11995
7934,30000
2174,32995
4210,9790
793,20998
11953,25690
6079,37450
339,19819
1571,20499
4778,26356
1382,15750
2140,13297
3185,15995
7744,9990
6785,21490
8456,26000
8842,18000
10154,8480
12241,9950
4242,8800
5630,15290
6865,17695
1788,11590
8945,11750
4614,20700
6528,22995
1879,15490
5043,10690
11610,21495
358,40000
10330,12430
5163,25000
2849,10495
1961,29400
6405,31250
9683,13300
3689,7450
13849,6000
6757,17995
1190,16498
12448,16000
4999,66990
1529,11200
12236,9950
3744,15190
8017,15999
9600,44950
4403,16732
4775,14600
18,33785
8071,12499
7968,4990
2858,11000
10768,22995
13218,15490
12852,4495
4621,16775
10013,17999
1830,35480
1903,9990
3538,13495
6521,21995
11255,12299
3321,23990
2087,8050
6414,25950
13173,15199
16673,4999
14461,7340
10148,42950
5550,6120
3049,8680
10153,13970
8447,11299
1359,13298
3496,27991
5876,21000
4715,10800
8220,15470
13471,6995
9927,11795
6309,9190
8009,37699
6836,16995
1091,28498
14227,16080
497,18798
9257,7990
6535,13749
15275,5489
6955,22299
4038,5995
12222,22890
10304,7490
1244,11498
10319,15860
6938,34500
10402,8950
5970,16000
7652,24700
1505,6798
16298,15495
11831,23000
3796,21000
1006,15998
11857,2140
11197,18850
1036,9998
1459,11995
759,13998
806,14995
6295,7393
1033,20000
4049,19495
8731,19799
13334,10000
5628,10890
10607,22491
10992,14990
936,11698
4623,19890
1919,19980
6454,8291
9136,27990
14489,19970
3943,16750
5563,11500
7036,10799
2875,23242
810,15990
6387,20832
563,17995
8310,11991
1203,46495
4827,9450
932,9698
1846,22995
14284,6799
16689,13149
4643,8407
6189,24895
11716,22790
2925,10800
11464,11799
7880,24999
5707,12999
398,13995
1046,9798
15141,12995
806,20498
2813,10770
1387,8995
7989,31299
9192,8295
9700,10500
4072,34622
4523,25890
5676,12698
4827,14490
1363,7995
3714,6695
4090,38990
14130,4990
8298,7791
5868,10498
7687,54950
7264,10391
3897,32290
7791,24549
5389,6250
2413,14498
7204,33900
3805,7750
14143,15998
4862,9300
1739,16999
2383,11994
12033,16600
714,14498
5487,12200
1490,14998
14438,7989
10602,7500
4444,9991
2542,16298
790,19898
1499,20991
5356,9560
1617,16995
8734,19549
6577,9022
9520,8990
6778,15990
100,30670
2672,13995
254,20990
3884,28750
7432,16000
3715,11495
137,15500
2157,12750
2094,16770
1696,15500
15530,8800
350,9199
3396,11999
642,12891
798,13498
2344,30252
1683,18990
6152,13995
6033,19491
10367,22900
7532,8495
5733,13675
3129,15485
14296,22995
8751,12000
6674,19760
7702,9490
8798,14000
2615,29990
8056,26799
5277,1550
433,10999
9329,20099
3555,19890
1860,14380
9831,8300
10445,23795
6057,36000
4128,14075
10552,18998
9892,11975
403,20298
4377,35040
16039,10995
13469,22995
8776,19000
22,20769
9387,20999
985,23999
5771,19997
6429,1990
4085,20900
4006,24680
1563,32991
2907,9990
2233,21490
760,8495
275,23715
13993,9990
12820,7000
2326,9801
2381,11798
6463,18000
3555,14995
2223,21890
5547,15490
5877,16498
410,20490
5199,12220
2440,21397
7705,36200
1216,12902
16357,9999
7634,7990
1503,20998
2085,17370
3452,46992
12924,5350
9100,8299
4551,24995
9514,9990
9367,4495
5312,26490
2049,23980
8793,22000
619,35995
2746,10980
6673,15900
1997,11750
82,14100
8190,18500
7894,30000
4918,9899
2201,10498
1266,17495
3167,21892
2324,18940
3448,13495
5835,7895
860,26995
2642,6100
3031,21590
4858,32500
11960,21980
4440,17980
10100,16600
6665,15590
7761,9552
10533,9479
6004,18990
12211,10489
11631,22490
10080,8995
1043,18498
4250,15990
3422,22620
9352,29250
278,30298
983,25500
5809,21995
6833,9495
861,18490
8303,5490
11483,13299
11932,23554
2499,14995
7140,27995
2820,9720
3528,16798
12411,6890
3631,11990
17087,11500
14299,8524
14337,8382
9106,12495
8371,25879
1907,8995
8104,6490
3250,14990
1335,21497
311,17498
231,9298
2540,26491
3841,17990
876,19295
2098,33500
5230,4991
16269,6000
5529,8995
7571,9445
9417,11995
9907,7740
3697,21250
6953,11600
9556,9299
280,31998
2171,24990
6358,12529
10042,6150
110,8698
2577,23472
2145,15495
4886,7879
6701,13300
333,26500
4497,10990
2599,16990
4823,26000
9560,12500
3068,14998
12600,7562
16962,11000
6282,23082
15896,19300
8220,14470
1480,25995
14066,9000
10269,29498
2086,27480
8992,15399
9052,23149
4555,37990
173,16999
246,21412
14434,11999
477,19990
5874,22390
7180,28249
5935,23900
10632,16981
5623,21990
12562,15700
16759,7599
2494,20000
2697,14498
4573,14799
1922,20795
6743,21995
4332,17450
233,17495
1502,13191
11262,8799
772,19898
2235,24990
712,12998
1798,16900
10182,9990
6397,31495
4680,19950
8401,10450
8896,11000
5678,15489
459,39995
10285,14300
5741,12410
10784,25900
3354,31000
4439,16380
2845,34981
521,17998
6781,19999
2167,13746
3699,26995
6967,38380
9343,51990
7337,8995
1663,11498
9741,12689
3877,14995
3590,10000
247,6373
10880,25399
6718,12298
884,21790
1710,10656
4924,22499
4209,10991
9948,13495
10402,27900
6189,32500
437,13500
2633,12990
3859,21592
11002,10499
13739,40822
11755,14500
7342,15000
14197,18822
14158,18250
7274,25285
7109,10995
8916,6991
17090,9650
3025,34480
8054,8999
2615,12147
5130,56950
3914,9000
8170,31299
1617,8990
4814,15397
2017,58991
12123,10791
5351,24991
371,9995
6983,27770
9748,12500
2068,10584
10268,14000
6666,28945
12223,6298
4823,9450
3161,14642
3128,9998
973,30999
5639,31995
1620,11290
14589,21490
11669,10000
4849,26490
7259,13291
1455,15698
4168,21380
10229,15800
3925,12893
4246,38990
9999,21800
17398,9500
4578,16998
1506,17998
7498,11500
12097,12700
949,20498
17474,13000
5366,38995
9829,11495
3269,16570
4890,35500
11622,10699
1694,12771
6412,42495
5242,32495
16124,8995
7699,7971
7490,16230
5671,14298
16891,7759
4105,14995
6144,16498
1440,12690
13395,27500
9049,12450
7309,13745
2994,14797
3174,20480
7163,11498
4639,13490
13713,4990
5870,21950
3904,11750
5832,27695
13943,19800
1847,15980
4582,9889
7523,7995
12346,13000
9203,53499
6762,21449
6490,22769
7838,10995
7784,20950
10453,21500
5314,5475
2490,13590
2690,13498
6371,32790
3050,16430
10845,15499
8369,11169
8096,17300
1665,17498
11909,9995
2713,13750
3608,14995
16486,11699
561,15995
12501,8393
5383,6300
10508,29490
11010,23480
6845,11995
5059,13199
9922,14795
4278,22495
2997,23671
6067,16850
1000,19990
170,16490
8951,38499
3689,24750
13446,22500
5189,9391
4710,14490
8783,19199
4749,23480
4069,14950
5364,8700
12588,14700
2069,26990
11288,15999
13481,38500
2246,10495
10224,6995
2866,13995
2817,15187
3094,39980
8545,15699
5631,18500
5625,30790
3630,10020
4866,12990
1756,14795
6140,23999
4308,26280
5429,9200
683,16291
8671,11990
8660,12700
4000,16495
9442,9199
732,20995
19,23790
7605,17500
180,27998
3010,17298
9181,17899
2370,19290
2295,24995
5846,25000
9383,12995
6,30948
4780,24990
4006,13750
1544,18490
1786,10499
11004,17851
5170,42995
6564,23489
8253,11299
10249,21700
3363,11590
2475,11798
17795,13500
14561,21691
4609,9350
4773,8490
1154,13800
613,20998
2829,7800
756,29000
13081,9985
2477,10940
7769,13950
10449,22710
3930,16490
4723,10000
8658,16500
8949,7000
5741,8794
1943,38995
7757,14491
12472,14500
4351,15429
3739,7990
5347,8399
7288,38995
8778,32249
4840,6990
13766,49999
11189,19439
3572,15999
5691,23995
7169,19400
2072,10660
256,18998
5013,11998
10925,14695
10515,14410
9314,25999
5451,12491
7322,30899
1789,8498
11348,18990
7068,6998
6252,11777
12842,10555
8753,12700
7086,11800
8738,12000
2711,21998
2847,47975
6194,6291
6685,10100
1156,13240
3051,14920
14841,21699
7995,14195
12125,6495
10556,11000
13139,14000
3169,8000
2603,11578
7455,18500
3553,10260
1910,9495
2728,34026
4709,30950
6991,27500
17648,13495
11543,16600
14872,14598
6424,24496
1995,10350
5516,19495
11298,15899
5785,17990
3489,11460
3367,13395
3608,21980
13389,18000
3280,6499
3470,21690
8770,14000
6091,23995
12155,5885
5860,12449
9876,11999
8252,15499
17026,16990
9239,24124
1882,19450
16664,14249
10895,17995
10228,13100
2214,9650
7696,56000
8894,9999
9717,14990
1125,13970
17437,3895
17221,6999
5783,28630
8183,23799
16686,15549
877,6672
2821,15512
1589,11895
7593,34500
3457,40980
5816,41986
9283,11495
324,11998
563,5998
3365,29950
7992,18860
5112,21495
8580,16980
8365,9999
10279,20191
14154,16995
8354,16749
8838,10052
6977,39700
4356,19850
7692,12500
8406,16629
1854,10499
7387,8995
9673,13450
8961,15499
4952,32990
7830,15510
1109,14498
15508,14000
597,21298
4259,17650
5789,15790
3693,14852
5413,8740
240,26950
5916,18501
8896,20599
15080,10999
893,20900
4805,34965
2202,29495
8443,9749
9008,14399
2333,16020
13549,6500
2281,14999
15492,8200
8793,19000
3963,17290
1501,13390
5758,33450
4692,34995
15130,22000
4181,5698
4630,16498
501,14995
1351,10795
12894,7800
6033,14990
8045,21099
6708,49499
5521,12990
3668,13000
6310,22991
8573,7080
2513,15999
5129,19500
333,13498
2233,25495
4096,19995
6367,21865
4318,6000
3306,12290
3971,7488
5620,44176
2097,7800
8584,12000
4269,21980
9708,24607
9190,29790
3341,31000
548,6298
13225,9475
2001,12609
5915,32950
12718,9490
13302,12950
12376,9991
8808,43999
7811,32000
2847,10600
4379,31495
2985,21250
17149,13500
5059,24990
4864,27710
12223,13000
2582,30490
6610,29749
5691,35995
2536,17995
5121,20990
14069,6990
14533,15900
2573,23155
4647,10950
1242,18950
5704,25500
11829,18000
15815,15799
6261,25980
2898,16964
505,8298
8142,16440
8063,26099
495,26990
6880,13990
8172,9990
9630,14226
6295,19900
470,18995
14734,15985
5163,5799
4605,14050
10230,13700
17624,9300
5894,9991
6512,23888
5859,22995
1112,10310
10348,19499
12168,11000
173,4998
9988,10895
867,16995
8335,33149
1129,6490
941,24998
5503,4591
10188,14500
9814,6495
4633,6000
3117,64980
7505,9490
3166,9690
5461,14000
13673,10000
1034,10498
11560,13500
8952,18499
12713,12299
12425,9600
13863,9690
10163,13800
3089,18250
8680,21099
10160,6995
663,14998
1618,13495
13929,25000
9067,9995
8196,20399
1545,56490
5247,33290
1263,28608
7669,27750
12423,13100
5172,9991
1511,53150
3475,7550
5263,21450
4963,29480
6073,28200
8462,29930
3889,21950
5533,18890
1785,13500
6714,8498
6913,22399
3480,32495
3131,18500
1765,11998
991,16495
2914,16249
7565,12699
17928,7500
1753,16365
9838,10999
12498,15300
6388,20216
3776,31993
1400,8998
13,7950
2648,48995
13527,16980
2590,48896
9123,59199
2244,10995
5459,9480
10496,13399
5459,6527
3380,42990
2511,10298
1792,8499
4943,12399
90,9698
5662,10495
4166,6030
1896,20998
14378,21990
5469,3695
2331,15999
6789,63295
11734,21790
2730,32975
8704,19999
3023,14998
10859,22794
1506,29400
9986,11229
14001,15500
10145,21900
10311,14800
892,13690
2481,10392
6085,22995
12662,21890
7722,9698
6264,25990
17746,11495
8452,13000
254,4998
16483,11899
2706,2499
3738,27980
12724,29579
5118,7195
3456,16990
5450,21500
4629,8498
7660,9941
10589,24481
17730,12000
3898,8690
7609,14991
12298,19000
10223,16222
1002,11698
9179,9995
9024,8399
8052,12995
3456,29995
13704,11800
7675,10241
11056,16982
3901,18440
11070,10000
7399,8995
2587,32990
13912,24999
1265,5795
6516,18985
10165,11591
3597,20000
5477,10490
14931,12000
1894,11215
1581,21550
7396,34290
10937,25266
1160,14790
5022,51990
1634,12862
12793,19499
7688,20999
1012,19547
4785,31550
663,18500
810,15295
1723,21750
17056,2995
9412,8999
6215,53999
1709,52800
12357,5395
14334,9191
11122,12795
6231,48450
11861,20000
1033,10498
4872,17000
2053,27991
9223,14500
5436,10991
6283,23490
5568,10995
11341,16990
8648,25999
14393,15994
15372,18139
270,15984
13466,22995
6757,11998
3544,9853
4738,38950
11517,21500
4008,31980
10452,9000
3452,16495
9460,11728
3019,23250
1512,15400
2864,19891
6434,7750
1364,16695
14658,9360
16276,7795
7043,40428
2668,17697
6248,16995
8996,7899
2917,5990
10285,15499
13870,27550
12645,20944
11465,19399
3764,24500
5781,6840
5590,10250
13909,8700
8489,10790
6177,14685
10220,33260
5794,8400
1075,11298
11127,10000
14386,8899
11151,30480
1945,9690
9149,9495
2631,17391
5829,22500
1612,9750
14300,9399
1619,5791
9454,6490
5245,33995
695,20995
3365,16491
3213,21780
5354,14190
2785,18290
10598,12990
3929,15299
3745,20770
17178,8495
5309,11290
1651,10995
9538,11000
5885,8795
9203,8695
10390,24950
9682,11750
1733,13998
7336,18685
180,13495
1326,16800
2449,12890
964,12495
6135,65000
5043,15000
11031,10499
10177,11493
3367,25980
10520,14979
1172,20995
4213,11500
10490,20495
7417,4200
14107,14399
12228,11000
3365,10850
5920,15495
9867,27500
337,19541
7389,16475
12324,7499
1307,11989
3668,6995
5731,20990
8753,15850
11999,15800
1972,49980
13818,6999
10114,26890
104,35371
9534,18999
5814,14995
13111,11995
9728,13490
26,17800
1451,11295
9392,10495
6515,23980
101,16300
6631,24995
5024,29995
1405,10600
5633,16498
8988,16000
11219,7999
2853,17495
5921,21945
10041,18498
11689,12498
4498,12950
9215,10000
1303,16989
9769,30990
4288,4995
1389,20498
12592,5000
10125,16740
11811,13950
682,45990
8846,9695
4882,19680
2938,77880
7284,8298
13383,18450
10543,13469
10259,16000
8085,14800
2118,10991
2081,13995
2545,12150
4270,12990
8531,21999
13569,21769
234,25680
6024,16490
10916,15299
6470,17599
2503,20790
5938,18700
12296,8490
6238,24999
9412,11420
1977,8400
2177,12995
10062,18450
7175,22400
5634,15495
2948,29995
7926,27950
6455,11998
12387,5295
5096,31980
6103,20495
2543,67990
1379,12000
12298,27000
14299,21990
10942,24580
5426,14995
9531,31599
5018,7641
5499,13890
4441,16490
1857,8998
14951,8800
4601,21750
190,23498
14035,28990
8790,21990
11391,38990
1973,10155
7110,20995
10057,9700
996,16791
17240,10995
5122,19522
4375,25995
5118,28995
10557,29000
8310,18299
9486,18499
9863,15995
3049,18937
4305,8750
4846,24500
6339,27195
3520,17998
6423,2995
1491,19400
10075,21498
5597,19000
9,12000
6929,6498
3834,13190
12920,10500
5494,11000
10623,17495
524,59995
14767,7999
69,27250
6592,9990
7984,16399
6200,19999
4415,25764
4468,21980
1909,17495
1398,18950
1948,21497
125,21495
10529,16970
13851,44495
1682,42460
3809,9995
9487,14799
12963,24990
2825,9495
2060,12595
2812,9240
706,33990
17174,15495
2323,11499
7151,22899
11668,17899
4358,12995
6593,18498
1378,12000
986,13698
6125,28995
14965,20625
5508,8995
17890,25999
11718,20990
2110,25490
16982,2395
6312,14199
3031,12991
3767,17797
4038,19110
12583,17000
7134,115359
8766,12000
15970,7299
3205,16970
3244,21990
3433,26490
16390,7475
4722,14946
1060,7713
892,12590
3677,14500
15890,5990
15092,15999
3159,14995
13630,37995
5003,19390
10189,20800
8800,20000
9405,8790
5264,26990
4394,10450
7840,19124
1030,12590
1997,18950
2236,30995
4598,20490
4059,22590
5700,14990
6176,20950
17047,7698
5020,14990
2747,11700
1180,9995
956,18998
10872,13499
6350,15000
10209,11479
5099,8991
10487,6125
8539,12149
13526,15980
5197,20480
1657,11209
13335,20000
3135,18995
9631,6970
2624,35562
9279,15000
12504,14700
3120,25980
9510,9995
6924,9790
8462,24899
5023,13250
11345,16500
15409,10300
4881,18480
1427,15498
8519,29999
10024,13849
4062,6995
9854,6899
2087,8390
12335,17900
2925,17012
11862,10000
1808,10645
102,14800
228,19498
2773,14195
2619,9799
2688,35475
4756,7495
12145,15170
8736,7200
1173,18995
9781,13500
82,21998
11312,18000
15604,6200
11069,12450
4716,10295
1367,8480
4588,8599
1119,22898
3211,20875
932,14498
1806,20340
12871,6830
455,18990
7815,19975
5927,10570
2623,19320
1119,16998
14664,13680
462,17795
4556,34490
5340,5995
1148,30990
1177,16995
3458,9990
5869,18998
666,20000
3619,20600
7905,15291
3076,17980
3572,27795
9845,15490
4842,31683
5567,12495
5361,18600
3022,27162
15144,7800
15244,12289
3055,12750
2726,20975
4860,8950
14530,8795
10989,17990
7340,33719
2213,20495
10838,11000
4937,5591
1112,23998
16789,2995
1367,50950
441,31498
1597,9495
3556,37980
5467,39991
8170,12440
6967,35000
3983,25554
10262,14800
11717,18490
12391,15800
2714,8495
7070,18850
9418,49990
1111,11290
11210,11500
3301,27990
5296,23740
3112,22990
5935,16422
12037,27200
1826,27995
6074,32995
2296,52000
3085,16998
4157,6895
1629,12000
15968,10499
3938,12497
9768,9700
6289,26500
2289,8995
3272,14500
12798,9999
3052,15270
5453,6717
16318,17995
2687,21000
242,25490
3855,10495
10279,11500
882,20990
1749,27998
14148,7800
9032,10490
397,17495
6629,29999
15136,12490
13664,25495
4270,25295
7486,6950
12465,20800
8546,15995
7313,20000
7437,4995
7563,12699
213,14498
10753,15660
6920,25285
4517,35495
9320,42990
3312,12990
13558,11000
10272,12700
6406,12000
1691,20638
10675,14000
1067,10260
5324,7290
1915,12920
12334,8295
3409,22995
13649,25750
11028,23390
2052,9498
5605,10489
3961,20980
15403,9000
1190,16700
9697,6361
8102,29349
6241,26990
2271,24740
7733,69399
5409,18995
5622,18750
3253,13998
13978,25000
6497,14871
4286,28995
7921,9642
13826,7495
5712,7375
11602,8793
9813,13490
1153,7495
8426,10991
13347,19499
3952,17980
4295,16998
14999,20999
2015,8995
10936,9800
583,6498
7980,10000
15916,11000
2949,13980
14913,29399
6387,9590
7289,19995
3554,11490
1862,8298
5262,8973
17720,9500
5670,16490
1463,22646
2653,3495
2112,20498
5060,22490
8757,11950
16558,12299
3984,11990
1304,10488
8033,26149
9273,11500
3762,9991
14983,27994
6040,6980
10407,35900
1756,14691
1355,12000
389,9998
9193,11495
11232,6775
2540,9500
5644,11495
9896,15499
5185,8495
7370,52700
328,16485
152,19999
12839,11650
7746,16497
17290,6750
4348,18498
3559,18495
1912,15490
3611,12560
3434,12698
5809,19495
13722,8491
413,33490
8344,9567
6179,64999
12330,6495
3622,21991
5080,49999
9622,19500
8449,11899
15064,9995
5311,35990
3266,11959
291,17990
5494,8999
10260,23495
3003,24950
7349,23299
5783,12995
43,24490
10010,16995
3041,9990
754,11498
2097,11623
6597,20725
9508,9495
8982,13499
4360,20699
10363,11880
7152,13698
7184,13489
8173,25940
4896,18500
8998,21549
3018,21590
11175,17950
5504,8000
317,25990
10094,11700
12222,9000
2636,23022
5399,15810
10346,23998
903,20991
8496,41499
1331,28127
2167,12950
2539,12490
3541,13995
14045,22025
6876,14900
2706,18998
729,29809
10332,16100
12946,17999
7245,34985
372,10698
9680,9500
13289,16995
1105,7498
6157,7499
1714,19998
3740,23914
8632,12750
14898,9195
16884,16199
2686,12990
907,11000
246,22980
10713,20000
14751,31995
7972,15989
1183,19956
11512,19499
1456,21795
3652,16992
6195,21880
297,16798
12405,9149
5943,27500
1954,17420
610,25998
7485,29399
10371,16100
3163,27890
5611,54950
5676,8490
2301,21480
6508,10000
10162,15491
2460,13995
10799,15140
8119,6290
12148,18470
5883,6470
7781,29990
2829,36000
2138,19056
1100,23256
5871,11498
1252,8000
6171,17498
1242,14690
2222,15790
2783,10495
11629,9000
4418,9750
7192,22000
11876,29995
2646,9295
2818,11990
6445,11399
1440,20762
15427,11500
9227,16490
564,20998
7413,30499
6798,23888
3359,7491
3638,8995
50,5880
13271,5997
5413,7995
9018,13502
17870,10000
12998,7295
2458,16320
5654,12498
9540,8900
4546,28995
9517,7995
5721,12750
15614,9000
6266,21725
4075,6995
3944,16290
11506,22999
3955,23000
6165,13299
5667,21998
5865,15110
10960,28750
1953,10000
4427,30480
9109,28988
4159,17000
3698,17450
8718,13500
12891,6600
2158,8500
6014,23820
7847,14553
11810,4490
6278,26490
4279,19980
1424,19742
8685,11690
3492,13799
2705,13595
5060,7991
5237,15460
10336,29350
714,35995
2656,21995
7668,30990
9832,11490
2583,31040
13898,22495
15053,13500
12001,16750
11149,12795
4194,12995
9715,14145
2754,7813
7176,24799
5651,9995
6825,26332
3262,23551
6421,11499
11694,21950
6586,10150
7045,7499
10678,22998
14979,13998
8431,19799
8495,43930
115,22790
1186,19881
6063,19999
244,17498
957,11500
35,20000
9326,20650
4402,8491
12355,9991
6178,20500
7979,11990
8273,10500
16794,5495
8399,9950
12942,35402
8110,12540
14698,10799
11563,12699
2070,8632
376,37331
6848,26995
3244,15998
11156,18500
648,35498
6171,32995
8787,10990
2999,10495
15303,7589
10460,18499
4057,7495
166,18999
1453,21498
4615,19741
5538,19350
5057,23990
5362,19400
1819,11990
5648,19490
7128,119450
5389,15500
2682,15490
8189,54599
12374,7482
14420,11395
4056,6990
7797,14430
2819,12750
4552,14532
14428,20000
117,17250
12373,6991
8763,15299
6407,14990
12723,34975
4614,44995
6756,19966
1537,8225
7512,16298
4632,12795
10161,27290
11170,22490
11499,20399
8868,14995
9878,10190
10278,11300
9238,10000
3502,6450
3361,9495
632,43950
3854,33499
1960,10290
1999,11300
3029,20380
4070,17495
14952,19498
1466,8495
12444,16000
1984,10298
7593,10990
16907,950
13039,35000
543,18562
13450,20690
12707,6490
911,21498
3717,7998
1024,24898
6656,9999
921,16998
1974,27590
1006,8498
8093,9900
7283,16490
9381,55885
6837,14799
12418,19750
2894,17298
3750,15995
1435,19501
6445,9300
10216,8950
14995,12995
1757,19840
7447,14999
7425,16000
3778,18800
8142,10228
2567,14782
1600,15000
141,12995
9291,9390
9112,17995
4798,21900
5398,15950
8375,9429
8758,12690
8845,15990
14546,8812
8814,10699
795,15459
289,33998
992,22995
13520,36998
13189,21500
10294,27491
6043,20945
5396,6995
673,9030
5603,8990
6730,17749
366,14495
918,19395
4281,33980
4055,7490
4787,10400
6906,67989
13170,6990
4380,6790
5088,7640
12590,7150
2039,10995
13471,18995
1539,12600
8916,9500
474,20490
6361,22990
4526,22750
9360,15850
11284,18199
13729,18795
1776,19980
2798,21490
4919,14499
12291,9995
16226,18295
12023,22000
4062,23165
13033,9695
140,12295
5690,10795
15381,10489
3203,12350
6157,27750
3994,49980
824,18998
6265,14495
827,6998
6578,67109
5184,31980
2787,19295
4535,23995
3216,18490
8492,14717
1192,7250
3966,24490
4098,22000
5763,18965
389,10495
4766,28990
6785,10600
7117,21750
5340,44950
3527,7000
12853,18500
5434,10391
3210,15320
5774,23495
17391,9000
8811,15690
9871,9280
9386,12900
5592,20690
3724,34799
8684,15500
10876,27000
2741,18298
15760,13989
4057,27495
1714,16699
5815,13490
4580,31995
4255,14995
3522,19750
9911,19450
6402,29750
2269,10664
13064,16299
389,13598
7684,12995
3845,9650
10462,14560
6323,16450
12367,10495
3178,10691
2216,6490
12466,20800
17112,9600
14703,9990
4839,8500
3905,13950
1685,5998
10665,32990
5035,10490
46,25390
11824,18000
1196,23395
14198,7552
8027,26099
12012,26990
8947,10700
1486,32226
8695,10500
2165,16395
10868,25748
11511,18400
1100,12991
4987,35995
4840,22442
3826,20604
5598,23490
13729,34490
9838,8750
1265,14998
2651,9995
7222,7698
4412,17990
2220,15990
1292,15790
2130,16842
12244,8580
355,17000
828,20450
7233,10998
11897,28995
6177,28970
11402,31750
7965,16190
2153,18891
4552,27000
648,7498
1101,26998
10677,29206
11081,27597
12721,5499
13431,42000
14466,23290
11470,18949
5392,21500
3279,10498
7456,17500
11233,24290
1163,63796
1828,26280
8613,22950
7832,11175
5349,4450
3436,14775
12940,18100
9197,20849
13100,14500
17040,10290
